"filename", "language", "TypeScript JSX", "JSON", "TypeScript", "PostCSS", "comment", "blank", "total"
"c:\Users\soham\OneDrive\Desktop\Robofly - internship\website\robofly-website\src\app\blog\page.tsx", "TypeScript JSX", 9, 0, 0, 0, 0, 3, 12
"c:\Users\soham\OneDrive\Desktop\Robofly - internship\website\robofly-website\src\app\contact-soham\page.tsx", "TypeScript JSX", 142, 0, 0, 0, 4, 10, 156
"c:\Users\soham\OneDrive\Desktop\Robofly - internship\website\robofly-website\src\app\contact-vyom\loading.tsx", "TypeScript JSX", 69, 0, 0, 0, 6, 6, 81
"c:\Users\soham\OneDrive\Desktop\Robofly - internship\website\robofly-website\src\app\contact-vyom\page.tsx", "TypeScript JSX", 70, 0, 0, 0, 5, 8, 83
"c:\Users\soham\OneDrive\Desktop\Robofly - internship\website\robofly-website\src\app\contact\page.tsx", "TypeScript JSX", 114, 0, 0, 0, 6, 11, 131
"c:\Users\soham\OneDrive\Desktop\Robofly - internship\website\robofly-website\src\app\error.tsx", "TypeScript JSX", 138, 0, 0, 0, 6, 11, 155
"c:\Users\soham\OneDrive\Desktop\Robofly - internship\website\robofly-website\src\app\globals.css", "PostCSS", 0, 0, 0, 2, 1, 1, 4
"c:\Users\soham\OneDrive\Desktop\Robofly - internship\website\robofly-website\src\app\home\@videosection\loading.tsx", "TypeScript JSX", 9, 0, 0, 0, 1, 2, 12
"c:\Users\soham\OneDrive\Desktop\Robofly - internship\website\robofly-website\src\app\home\@videosection\page.tsx", "TypeScript JSX", 79, 0, 0, 0, 6, 9, 94
"c:\Users\soham\OneDrive\Desktop\Robofly - internship\website\robofly-website\src\app\home\layout.tsx", "TypeScript JSX", 8, 0, 0, 0, 0, 1, 9
"c:\Users\soham\OneDrive\Desktop\Robofly - internship\website\robofly-website\src\app\home\page.tsx", "TypeScript JSX", 31, 0, 0, 0, 4, 10, 45
"c:\Users\soham\OneDrive\Desktop\Robofly - internship\website\robofly-website\src\app\layout.tsx", "TypeScript JSX", 26, 0, 0, 0, 0, 4, 30
"c:\Users\soham\OneDrive\Desktop\Robofly - internship\website\robofly-website\src\app\loading.tsx", "TypeScript JSX", 39, 0, 0, 0, 9, 7, 55
